ID,NOME,SOBRENOME,DATA DE NASCIMENTO,CPF
1,Ana Beatriz,Oliveira Santos,1985-03-15,12345678901
2,Carlos,Eduardo Mendes Lima,1990-07-22,98765432102
3,Fernanda,Cristina Alves Souza,1978-11-08,45678912303
4,João Pedro,Rodrigues Ferreira,1995-01-30,78912345604
5,Mariana,da Silva Costa,1982-09-12,32165498705
6,Lucas Henrique,Gomes Martins,1989-05-05,65432178906
7,Juliana,Beatriz Ribeiro Carvalho,1976-12-18,14725836907
8,Rafael Augusto,Pereira Dias,1993-08-25,25836914708
9,Amanda Cristina,Fernandes Rocha,1987-06-03,36914725809
10,Bruno,César Teixeira Monteiro,1981-10-14,75395185210

